snapshot,value,value_q2q_v1,value_q2q_v2,value_q2q_v3
2023-01-01 00:00:00,7080.15,8543.79,8969.69,11815.25
2023-01-01 01:00:00,7135.5,8559.4,8989.65,11841.55
2023-01-01 02:00:00,7136.55,8559.58,8977.45,11825.47
2023-01-01 03:00:00,6830.13,8350.43,8717.34,11482.85
2023-01-01 04:00:00,6673.76,8103.59,8492.93,11187.25
2023-01-01 05:00:00,7190.69,8357.34,8754.1,11531.27
2023-01-01 06:00:00,8153.71,8979.98,9364.91,12335.85
2023-01-01 07:00:00,9286.12,9682.09,10122.91,13334.33
2023-01-01 08:00:00,10226.79,10184.12,10662.23,14044.74
2023-01-01 09:00:00,10941.07,10444.28,10970.31,14450.55
2023-01-01 10:00:00,9686.48,9639.14,10123.54,13335.15
2023-01-01 11:00:00,8056.33,8726.02,9130.27,12026.77
2023-01-01 12:00:00,7986.34,8836.73,9231.22,12159.75
2023-01-01 13:00:00,7722.14,8881.57,9299.05,12249.1
2023-01-01 14:00:00,7522.32,8632.42,9023.22,11885.77
2023-01-01 15:00:00,8327.79,8968.07,9392.46,12372.14
2023-01-01 16:00:00,9139.97,9623.47,10038.23,13222.79
2023-01-01 17:00:00,9800.98,10382.01,10866.65,14314.01
2023-01-01 18:00:00,10096.05,10678.34,11186.78,14735.7
2023-01-01 19:00:00,10373.81,10982.21,11485.81,15129.59
2023-01-01 20:00:00,10299.56,11187.21,11697.87,15408.92
2023-01-01 21:00:00,10068.35,11159.58,11697.39,15408.29
2023-01-01 22:00:00,6688.32,8904.78,9278.5,12222.03
2023-01-01 23:00:00,7431.48,9594.97,9969.05,13131.65
2023-01-02 00:00:00,7444.46,9552.67,9930.25,13080.55
2023-01-02 01:00:00,6629.47,8811.16,9185.1,12099.01
2023-01-02 02:00:00,5445.25,7799.67,8104.6,10675.73
2023-01-02 03:00:00,4426.83,7011.65,7280.59,9590.31
2023-01-02 04:00:00,3732.88,6403.52,6607.86,8704.15
2023-01-02 05:00:00,2963.27,5509.08,5683.44,7486.46
2023-01-02 06:00:00,2274.93,4644.0,4803.94,6327.96
2023-01-02 07:00:00,1614.69,3659.23,3770.88,4967.16
2023-01-02 08:00:00,1158.13,2918.83,3034.36,3996.99
2023-01-02 09:00:00,659.07,1853.57,1943.73,2560.36
2023-01-02 10:00:00,446.12,1484.81,1558.57,2053.02
2023-01-02 11:00:00,299.68,1168.52,1229.35,1619.36
2023-01-02 12:00:00,331.29,1210.33,1274.63,1679.0
2023-01-02 13:00:00,321.54,1194.38,1265.79,1667.36
2023-01-02 14:00:00,320.51,1203.11,1267.51,1669.62
2023-01-02 15:00:00,339.22,1265.05,1336.71,1760.76
2023-01-02 16:00:00,331.31,1267.03,1328.94,1750.54
2023-01-02 17:00:00,446.53,1531.38,1605.57,2114.92
2023-01-02 18:00:00,571.94,1871.0,1942.72,2559.03
2023-01-02 19:00:00,586.46,1787.79,1874.25,2468.84
2023-01-02 20:00:00,653.43,1892.22,1971.53,2596.99
2023-01-02 21:00:00,698.29,1939.44,2020.43,2661.39
2023-01-02 22:00:00,922.83,2254.58,2347.72,3092.52
2023-01-02 23:00:00,911.4,2253.73,2340.43,3082.92
2023-01-03 00:00:00,980.53,2328.02,2420.28,3188.1
2023-01-03 01:00:00,1162.05,2501.98,2622.11,3453.95
2023-01-03 02:00:00,1376.79,2752.65,2871.98,3783.09
2023-01-03 03:00:00,1394.66,2780.11,2905.37,3827.08
2023-01-03 04:00:00,1461.12,2843.12,2961.42,3900.9
2023-01-03 05:00:00,1563.14,2929.14,3065.11,4037.49
2023-01-03 06:00:00,1613.35,2987.53,3120.16,4110.01
2023-01-03 07:00:00,1672.39,3062.78,3184.39,4194.62
2023-01-03 08:00:00,1649.12,3042.12,3159.15,4161.37
2023-01-03 09:00:00,1525.18,2859.5,2977.84,3922.53
2023-01-03 10:00:00,1144.63,2284.74,2393.28,3152.53
2023-01-03 11:00:00,1021.68,2088.19,2187.67,2881.69
2023-01-03 12:00:00,1205.44,2259.99,2383.93,3140.21
2023-01-03 13:00:00,1482.98,2553.82,2691.19,3544.94
2023-01-03 14:00:00,1579.89,2686.82,2808.67,3699.7
2023-01-03 15:00:00,1487.51,2596.83,2726.63,3591.64
2023-01-03 16:00:00,1426.26,2644.45,2755.55,3629.72
2023-01-03 17:00:00,1578.84,2884.3,2991.82,3940.95
2023-01-03 18:00:00,1721.53,3189.88,3319.81,4373.0
2023-01-03 19:00:00,1826.02,3395.13,3550.71,4677.15
2023-01-03 20:00:00,1693.32,3055.03,3191.27,4203.68
2023-01-03 21:00:00,1653.59,2999.79,3132.07,4125.7
2023-01-03 22:00:00,1503.81,2808.81,2925.85,3854.05
2023-01-03 23:00:00,1498.47,2805.23,2924.81,3852.68
2023-01-04 00:00:00,1593.3,2950.35,3081.62,4059.24
2023-01-04 01:00:00,1571.08,2954.36,3078.72,4055.41
2023-01-04 02:00:00,1490.68,2897.0,3019.83,3977.85
2023-01-04 03:00:00,1377.5,2793.16,2915.72,3840.7
2023-01-04 04:00:00,1389.3,2902.24,3026.05,3986.05
2023-01-04 05:00:00,1337.78,2862.1,2973.51,3916.83
2023-01-04 06:00:00,1291.65,2816.67,2918.8,3844.77
2023-01-04 07:00:00,1244.57,2748.44,2858.99,3765.98
2023-01-04 08:00:00,1220.4,2718.3,2828.04,3725.22
2023-01-04 09:00:00,1140.66,2586.55,2689.84,3543.17
2023-01-04 10:00:00,630.17,1696.45,1774.85,2337.9
2023-01-04 11:00:00,533.65,1561.13,1638.31,2158.05
2023-01-04 12:00:00,631.77,1682.78,1763.78,2323.32
2023-01-04 13:00:00,680.3,1744.22,1821.95,2399.95
2023-01-04 14:00:00,627.5,1675.62,1757.36,2314.87
2023-01-04 15:00:00,531.22,1578.84,1657.4,2183.19
2023-01-04 16:00:00,453.81,1455.93,1524.8,2008.54
2023-01-04 17:00:00,442.12,1436.05,1506.55,1984.49
2023-01-04 18:00:00,436.5,1421.85,1497.44,1972.48
2023-01-04 19:00:00,460.13,1461.68,1538.09,2026.04
2023-01-04 20:00:00,558.6,1712.36,1794.2,2363.4
2023-01-04 21:00:00,608.62,1813.73,1891.1,2491.04
2023-01-04 22:00:00,565.38,1749.84,1834.5,2416.48
2023-01-04 23:00:00,598.86,1768.23,1846.52,2432.31
2023-01-05 00:00:00,566.61,1611.19,1686.9,2222.06
2023-01-05 01:00:00,575.36,1611.97,1689.19,2225.07
2023-01-05 02:00:00,635.38,1798.48,1873.64,2468.04
2023-01-05 03:00:00,632.95,1809.56,1885.78,2484.03
2023-01-05 04:00:00,558.64,1607.01,1689.8,2225.87
2023-01-05 05:00:00,513.32,1525.67,1605.89,2115.35
2023-01-05 06:00:00,510.75,1511.35,1597.03,2103.67
2023-01-05 07:00:00,501.57,1494.89,1578.87,2079.76
2023-01-05 08:00:00,489.89,1469.0,1542.15,2031.39
2023-01-05 09:00:00,364.05,1174.72,1241.51,1635.37
2023-01-05 10:00:00,255.93,1003.22,1064.99,1402.85
2023-01-05 11:00:00,220.87,952.59,1014.86,1336.82
2023-01-05 12:00:00,193.01,909.34,961.69,1266.78
2023-01-05 13:00:00,170.31,868.48,926.2,1220.04
2023-01-05 14:00:00,184.33,954.8,1018.95,1342.21
2023-01-05 15:00:00,208.48,1024.64,1083.99,1427.88
2023-01-05 16:00:00,237.92,1072.72,1145.46,1508.85
2023-01-05 17:00:00,263.72,1107.35,1175.7,1548.68
2023-01-05 18:00:00,260.15,1101.34,1162.71,1531.56
2023-01-05 19:00:00,258.88,1094.7,1155.46,1522.03
2023-01-05 20:00:00,258.49,1091.21,1148.81,1513.27
2023-01-05 21:00:00,310.72,1161.71,1231.05,1621.59
2023-01-05 22:00:00,479.17,1530.77,1612.84,2124.5
2023-01-05 23:00:00,554.5,1642.46,1722.21,2268.57
2023-01-06 00:00:00,634.27,1744.15,1820.44,2397.95
2023-01-06 01:00:00,522.95,1394.17,1458.41,1921.08
2023-01-06 02:00:00,546.83,1426.17,1492.28,1965.69
2023-01-06 03:00:00,556.9,1437.35,1506.13,1983.94
2023-01-06 04:00:00,638.26,1533.93,1611.57,2122.83
2023-01-06 05:00:00,854.23,1910.63,2004.18,2639.99
2023-01-06 06:00:00,989.9,2038.23,2136.54,2814.34
2023-01-06 07:00:00,1105.04,2223.68,2324.98,3062.56
2023-01-06 08:00:00,1087.1,2061.78,2162.78,2848.91
2023-01-06 09:00:00,1118.79,1956.08,2052.93,2704.2
2023-01-06 10:00:00,1295.72,2095.52,2215.76,2918.7
2023-01-06 11:00:00,1162.98,1997.07,2077.37,2736.4
2023-01-06 12:00:00,1449.83,2203.32,2315.64,3050.25
2023-01-06 13:00:00,1809.49,2395.64,2554.77,3365.25
2023-01-06 14:00:00,2128.55,2761.99,2907.18,3829.46
2023-01-06 15:00:00,2361.28,2915.37,3090.23,4070.59
2023-01-06 16:00:00,2602.38,3067.64,3262.2,4297.11
