snapshot,value,value_q2q_v1,value_q2q_v2,value_q2q_v3
2017-01-01 00:00:00,312.57,1184.96,1266.62,1673.24
2017-01-01 01:00:00,288.57,1145.03,1224.26,1617.29
2017-01-01 02:00:00,319.3,1246.06,1316.98,1739.76
2017-01-01 03:00:00,279.91,1140.87,1212.07,1601.18
2017-01-01 04:00:00,291.51,1152.4,1236.33,1633.22
2017-01-01 05:00:00,298.59,1173.02,1251.07,1652.7
2017-01-01 06:00:00,307.65,1184.52,1264.96,1671.04
2017-01-01 07:00:00,297.86,1167.93,1246.12,1646.15
2017-01-01 08:00:00,343.21,1297.32,1376.85,1818.85
2017-01-01 09:00:00,374.69,1392.69,1471.52,1943.92
2017-01-01 10:00:00,288.31,1196.66,1262.74,1668.11
2017-01-01 11:00:00,183.62,956.56,1031.58,1362.74
2017-01-01 12:00:00,239.43,1121.31,1188.92,1570.59
2017-01-01 13:00:00,387.83,1385.91,1464.16,1934.19
2017-01-01 14:00:00,461.08,1495.14,1574.04,2079.35
2017-01-01 15:00:00,453.31,1445.98,1525.04,2014.62
2017-01-01 16:00:00,616.97,1705.53,1793.49,2369.25
2017-01-01 17:00:00,910.88,2156.36,2260.51,2986.2
2017-01-01 18:00:00,1243.1,2526.52,2646.81,3496.51
2017-01-01 19:00:00,1500.24,2773.11,2919.81,3857.14
2017-01-01 20:00:00,1792.78,3051.62,3188.79,4212.48
2017-01-01 21:00:00,2117.74,3360.29,3543.18,4680.64
2017-01-01 22:00:00,2497.32,3798.11,4002.44,5287.34
2017-01-01 23:00:00,2569.39,3924.37,4130.22,5456.13
2017-01-02 00:00:00,2769.34,4090.12,4310.47,5694.25
2017-01-02 01:00:00,2852.13,4213.27,4436.01,5860.09
2017-01-02 02:00:00,2902.67,4331.34,4554.58,6016.72
2017-01-02 03:00:00,2921.82,4406.39,4643.65,6134.39
2017-01-02 04:00:00,2922.22,4408.83,4645.96,6137.43
2017-01-02 05:00:00,2947.16,4459.05,4689.47,6194.91
2017-01-02 06:00:00,2932.62,4425.96,4658.39,6153.86
2017-01-02 07:00:00,2964.18,4485.56,4716.82,6231.05
2017-01-02 08:00:00,3004.68,4538.63,4783.42,6319.03
2017-01-02 09:00:00,2883.45,4395.02,4649.76,6142.46
2017-01-02 10:00:00,2660.39,3831.82,4059.67,5362.94
2017-01-02 11:00:00,2359.26,3515.08,3726.4,4922.68
2017-01-02 12:00:00,2173.1,3358.43,3545.87,4684.2
2017-01-02 13:00:00,2170.18,3387.77,3564.34,4708.59
2017-01-02 14:00:00,2063.39,3311.97,3467.0,4580.01
2017-01-02 15:00:00,2020.08,3269.07,3415.8,4512.37
2017-01-02 16:00:00,1927.72,3228.13,3376.88,4460.95
2017-01-02 17:00:00,2041.38,3446.13,3615.65,4776.37
2017-01-02 18:00:00,2088.52,3555.89,3741.85,4943.09
2017-01-02 19:00:00,2258.6,3750.02,3925.76,5186.04
2017-01-02 20:00:00,2320.05,3752.56,3924.29,5184.09
2017-01-02 21:00:00,2335.72,3616.39,3816.21,5041.32
2017-01-02 22:00:00,2722.94,3953.91,4190.5,5535.76
2017-01-02 23:00:00,2845.89,3964.65,4220.54,5575.44
2017-01-03 00:00:00,2597.86,3832.25,4049.75,5349.84
2017-01-03 01:00:00,2291.54,3716.92,3900.89,5153.18
2017-01-03 02:00:00,2122.27,3693.68,3850.23,5086.26
2017-01-03 03:00:00,1948.1,3588.34,3747.11,4950.04
2017-01-03 04:00:00,1884.87,3590.19,3760.54,4967.77
2017-01-03 05:00:00,1755.04,3498.58,3652.45,4824.98
2017-01-03 06:00:00,1624.99,3382.23,3519.78,4649.72
2017-01-03 07:00:00,1502.01,3228.58,3360.16,4438.86
2017-01-03 08:00:00,1385.29,3062.68,3187.88,4211.28
2017-01-03 09:00:00,1240.52,2877.44,2995.71,3957.41
2017-01-03 10:00:00,1040.79,2573.75,2665.41,3521.08
2017-01-03 11:00:00,654.16,1881.4,1975.67,2609.92
2017-01-03 12:00:00,581.69,1760.52,1850.13,2444.07
2017-01-03 13:00:00,615.16,1811.01,1898.73,2508.28
2017-01-03 14:00:00,750.77,2107.33,2207.46,2916.12
2017-01-03 15:00:00,824.53,2246.06,2353.31,3108.78
2017-01-03 16:00:00,1028.16,2579.03,2681.72,3542.62
2017-01-03 17:00:00,1387.0,3099.67,3219.91,4253.59
2017-01-03 18:00:00,1581.85,3337.56,3463.92,4575.93
2017-01-03 19:00:00,1587.12,3304.64,3444.72,4550.57
2017-01-03 20:00:00,1548.7,3228.29,3380.56,4465.81
